GID_0,lon,lat,oppc
BRA,-61.0252,-11.5266,15234
BRA,-62.5846,-9.36065,12748
BRA,-72.6756,-7.62762,10160
BRA,-70.351,-8.17054,11106
BRA,-71.8974,-9.43091,12692
BRA,-72.8997,-7.61657,10159
BRA,-72.661,-7.73864,10394
BRA,-70.7722,-8.15697,10872
BRA,-59.896,-7.19409,9767
BRA,-70.1967,-4.37055,5895
BRA,-59.1256,-3.58574,5005
BRA,-62.9311,-0.983373,2458
BRA,-66.9086,-4.88161,6538
BRA,-63.1441,-4.09412,5544
BRA,-69.8662,-6.65677,8776
BRA,-60.19,-3.27479,4629
BRA,-59.094,-3.90037,5379
BRA,-60.0234,-2.02981,3485
BRA,-65.0092,-0.410824,2054
BRA,-60.6753,2.82384,311
BRA,-48.8788,-1.72183,3253
BRA,-48.1985,-1.95383,3406
BRA,-50.3861,-0.154874,1889
BRA,-49.9354,-0.996811,2536
BRA,-48.3743,-1.36391,2963
BRA,-46.6147,-1.05109,2692
BRA,-47.5677,-2.14898,3560
BRA,-50.1987,-1.90057,3394
BRA,-49.6694,-2.79021,4167
BRA,-48.6195,-1.51187,3107
BRA,-48.2434,-1.36183,2964
BRA,-48.0381,-1.51762,3110
BRA,-49.4979,-2.24295,3699
BRA,-47.9167,-1.29797,2824
BRA,-47.8515,-0.733214,2414
BRA,-47.0505,-1.92986,3413
BRA,-48.9575,-1.97533,3402
BRA,-47.446,-1.76984,3262
BRA,-55.9926,-4.2667,5781
BRA,-56.0889,-2.16347,3509
BRA,-49.3903,-1.8985,3399
BRA,-52.8875,-3.44637,4857
BRA,-50.7149,-1.8032,3242
BRA,-48.7668,-1.88993,3403
BRA,-49.2224,-1.53936,3103
BRA,-46.9731,-2.26693,3714
BRA,-49.0822,-4.91622,6645
BRA,-49.8628,-2.00358,3546
BRA,-48.8661,-1.39587,2960
BRA,-50.8194,-1.93639,3391
BRA,-53.4779,-1.798,3226
BRA,-48.5139,-0.758444,2410
BRA,-48.0246,-0.747293,2413
BRA,-47.7665,-1.68768,3260
BRA,-47.4784,-1.61307,3114
BRA,-48.9489,-2.94584,4336
BRA,-48.1415,-2.41302,3859
BRA,-46.9031,-1.07653,2690
BRA,-51.0694,0.034934,1761
BRA,-48.2044,-7.19238,9837
BRA,-47.8863,-5.46863,7312
BRA,-48.4757,-8.05764,11006
BRA,-48.5378,-5.36593,7308
BRA,-47.4954,-7.33501,10077
BRA,-45.606,-3.54129,5086
BRA,-43.3617,-4.86505,6679
BRA,-43.0108,-4.25245,5858
BRA,-45.0788,-2.52224,4034
BRA,-45.3798,-1.65893,3126
BRA,-41.7754,-2.90585,4379
BRA,-42.2559,-8.35466,11506
BRA,-40.3482,-3.68913,5303
BRA,-37.8253,-6.37065,8739
BRA,-37.6775,-11.1902,15038
BRA,-41.8286,-11.3851,15183
BRA,-44.0409,-22.9594,23425
BRA,-59.2252,-9.46121,12768
BRA,-52.2372,-15.8955,18900
BRA,-47.4566,-13.7976,17264
BRA,-46.4868,-13.9421,17399
BRA,-46.3704,-14.0859,17528
BRA,-49.0914,-16.7084,19523
BRA,-46.4847,-14.4644,17785
