GID_0,lon,lat,oppc
BRA,-61.9953,-11.9283,15559
BRA,-63.0325,-9.90571,13388
BRA,-60.552,-13.4945,16923
BRA,-61.4562,-11.4343,15065
BRA,-60.8168,-13.187,16784
BRA,-60.5454,-13.1174,16644
BRA,-60.8947,-12.9551,16499
BRA,-64.228,-12.4367,16029
BRA,-61.0252,-11.5266,15234
BRA,-65.3296,-10.7889,14346
BRA,-62.4788,-10.4318,13984
BRA,-61.9322,-10.8777,14552
BRA,-61.9818,-9.44363,12752
BRA,-62.3127,-11.7247,15392
BRA,-62.2565,-10.7167,14364
BRA,-61.198,-11.672,15398
BRA,-63.8999,-8.76077,11835
BRA,-61.8986,-11.169,14893
BRA,-61.7714,-11.7271,15395
BRA,-61.7777,-11.9074,15560
BRA,-60.1488,-12.7502,16358
BRA,-62.7192,-11.6953,15389
BRA,-62.2847,-11.3463,15060
BRA,-61.835,-12.132,15722
BRA,-63.3188,-9.71429,13180
BRA,-63.8324,-10.1943,13781
BRA,-61.9951,-11.6961,15394
BRA,-63.6266,-10.5712,14169
BRA,-63.7005,-8.7907,11836
BRA,-61.9482,-11.4253,15062
BRA,-60.8877,-12.5611,16203
BRA,-62.5846,-9.36065,12748
BRA,-62.7371,-10.61,14174
BRA,-63.1809,-9.19687,12520
BRA,-61.5174,-11.196,14895
BRA,-62.6696,-11.029,14719
BRA,-63.29,-10.2458,13784
BRA,-62.5564,-10.9068,14548
BRA,-61.6032,-12.1754,15885
BRA,-61.5026,-11.9023,15561
BRA,-63.568,-12.052,15712
BRA,-63.0182,-11.8055,15387
BRA,-62.242,-10.9056,14550
BRA,-62.3538,-10.2483,13789
BRA,-62.3639,-11.1261,14721
BRA,-62.1876,-9.86215,13393
BRA,-62.1352,-10.4465,13986
BRA,-66.8972,-9.82581,13159
BRA,-69.5738,-10.9298,14523
BRA,-68.7497,-10.995,14528
BRA,-67.955,-9.81528,13153
BRA,-67.686,-10.566,14158
BRA,-72.6756,-7.62762,10160
BRA,-68.7341,-11.0188,14702
BRA,-70.351,-8.17054,11106
BRA,-67.1371,-10.2806,13771
BRA,-67.8243,-9.97499,13368
BRA,-70.4902,-9.44652,12701
BRA,-67.7362,-10.1497,13568
BRA,-68.6571,-9.06596,12261
BRA,-70.7722,-8.15697,10872
BRA,-68.4969,-10.6516,14154
BRA,-67.5478,-9.58138,12938
BRA,-64.8007,-3.22727,4602
BRA,-59.896,-7.19409,9767
BRA,-59.1256,-3.58574,5005
BRA,-62.9311,-0.983373,2458
BRA,-70.0342,-4.37768,5896
BRA,-67.3919,-8.74232,11814
BRA,-59.5874,-4.39154,5959
BRA,-60.369,-3.76803,5183
BRA,-59.5557,-3.314,4633
BRA,-63.1441,-4.09412,5544
BRA,-62.0658,-3.83053,5173
BRA,-70.0281,-7.43789,9941
BRA,-66.0942,-2.52342,3908
BRA,-72.5907,-7.53797,10161
BRA,-63.0327,-7.51171,10218
BRA,-60.19,-3.27479,4629
BRA,-58.4449,-3.13861,4458
BRA,-64.7948,-7.26413,9738
BRA,-60.6216,-3.29066,4627
BRA,-60.0212,-3.11866,4448
BRA,-65.573,-1.85313,3302
BRA,-57.7067,-3.39289,4828
BRA,-59.094,-3.90037,5379
BRA,-60.9434,-2.63637,3939
BRA,-60.3732,-5.12593,6790
BRA,-56.729,-2.63741,3964
BRA,-60.0234,-2.02981,3485
BRA,-59.6858,-2.7045,4107
BRA,-65.0092,-0.410824,2054
BRA,-67.9463,-3.09544,4401
BRA,-67.084,-0.11909,1789
BRA,-69.9383,-4.2416,5697
BRA,-63.1808,-5.62085,7446
BRA,-64.7193,-3.36822,4786
BRA,-61.3692,3.64571,144
BRA,-61.3072,2.98858,276
BRA,-60.6753,2.82384,311
BRA,-60.6058,2.60994,346
BRA,-61.1304,1.82766,600
BRA,-59.6959,0.884203,1113
BRA,-61.0415,2.18305,414
BRA,-60.9096,2.43998,376
BRA,-59.6204,3.8853,93
BRA,-61.1477,4.4799,21
BRA,-60.4389,0.939956,1109
BRA,-59.9133,0.951659,1112
BRA,-60.0419,1.01019,1000
BRA,-48.8788,-1.72183,3253
BRA,-48.1985,-1.95383,3406
BRA,-54.7384,-1.94623,3367
BRA,-52.5788,-1.52904,3083
BRA,-52.21,-3.20407,4677
BRA,-48.3743,-1.36391,2963
BRA,-51.2003,-3.46985,4867
BRA,-46.6147,-1.05109,2692
BRA,-47.5677,-2.14898,3560
BRA,-50.1987,-1.90057,3394
BRA,-50.3959,-7.34779,10059
BRA,-48.6195,-1.51187,3107
BRA,-54.9374,-2.63609,3975
BRA,-47.3066,-1.36745,2970
BRA,-46.7826,-1.06126,2691
BRA,-52.534,-3.29792,4675
BRA,-48.4103,-5.69822,7762
BRA,-49.5735,-3.77191,5248
BRA,-50.4791,-1.68036,3244
BRA,-48.0381,-1.51762,3110
BRA,-46.5459,-1.75974,3267
BRA,-49.4979,-2.24295,3699
BRA,-49.8776,-6.49659,8666
BRA,-47.1778,-1.20529,2828
BRA,-47.0629,-1.74785,3264
BRA,-47.9167,-1.29797,2824
BRA,-49.987,-0.164154,1892
BRA,-48.2803,-0.936423,2545
BRA,-49.2689,-8.26136,11233
BRA,-50.7698,-7.81097,10525
BRA,-49.6068,-6.09965,8211
BRA,-47.8245,-4.19944,5830
BRA,-49.7125,-7.55335,10298
BRA,-47.0505,-1.92986,3413
BRA,-51.6338,-1.41412,2944
BRA,-47.626,-1.12539,2686
BRA,-48.9575,-1.97533,3402
BRA,-47.9114,-1.4349,2966
BRA,-47.5059,-2.55992,4019
BRA,-47.446,-1.76984,3262
BRA,-55.9926,-4.2667,5781
BRA,-49.3358,-5.13272,6856
BRA,-57.7544,-6.21469,8390
BRA,-56.0889,-2.16347,3509
BRA,-49.1327,-5.38075,7305
BRA,-47.452,-0.778899,2417
BRA,-47.7034,-0.714702,2415
BRA,-52.8875,-3.44637,4857
BRA,-49.5042,-2.5831,4007
BRA,-48.7668,-1.88993,3403
BRA,-54.6425,-2.6822,4138
BRA,-54.0724,-1.99768,3371
BRA,-49.2224,-1.53936,3103
BRA,-46.9731,-2.26693,3714
BRA,-55.3786,-7.14347,9561
BRA,-55.5208,-1.90107,3362
BRA,-49.8628,-2.00358,3546
BRA,-55.8579,-1.75989,3211
BRA,-51.0858,-6.7529,9121
BRA,-50.6399,-3.83542,5430
BRA,-48.3181,-5.74027,7763
BRA,-47.3527,-3.00212,4524
BRA,-49.9037,-6.06781,8209
BRA,-46.9268,-1.59772,3117
BRA,-54.2124,-3.86813,5408
BRA,-48.8661,-1.39587,2960
BRA,-50.8194,-1.93639,3391
BRA,-52.2361,-1.74691,3233
BRA,-53.4779,-1.798,3226
BRA,-47.1253,-0.945439,2552
BRA,-50.0317,-8.02529,10996
BRA,-48.067,-4.77793,6440
BRA,-54.9092,-4.10028,5593
BRA,-48.5139,-0.758444,2410
BRA,-48.238,-1.19219,2822
BRA,-48.1606,-1.29686,2823
BRA,-49.7215,-8.85784,12147
BRA,-47.5712,-1.35392,2968
BRA,-50.35,-9.3281,12597
