GID_0,lon,lat,oppc
BRA,-60.8947,-12.9551,228
BRA,-62.4788,-10.4318,248
BRA,-61.9322,-10.8777,243
BRA,-62.2565,-10.7167,243
BRA,-61.198,-11.672,236
BRA,-61.7714,-11.7271,238
BRA,-62.7192,-11.6953,247
BRA,-62.2847,-11.3463,242
BRA,-62.5564,-10.9068,243
BRA,-63.0182,-11.8055,249
BRA,-62.3639,-11.1261,243
BRA,-48.1985,-1.95383,267
BRA,-48.3743,-1.36391,268
BRA,-48.2434,-1.36183,267
BRA,-46.5459,-1.75974,264
BRA,-47.1778,-1.20529,261
BRA,-47.5059,-2.55992,267
BRA,-54.0724,-1.99768,270
BRA,-47.0134,-0.899604,262
BRA,-49.1771,-0.661019,273
BRA,-44.7329,-2.71,272
BRA,-45.2485,-5.49682,263
BRA,-44.7842,-2.44162,271
BRA,-46.0345,-2.44891,267
BRA,-44.2754,-5.02078,269
BRA,-45.8777,-2.12899,267
BRA,-44.8933,-2.64433,271
BRA,-43.9792,-6.4264,264
BRA,-42.5258,-2.72094,273
BRA,-45.0788,-2.52224,272
BRA,-45.82,-2.38991,269
BRA,-42.4064,-3.109,269
BRA,-44.8681,-2.89487,272
BRA,-44.8643,-3.45125,274
BRA,-41.467,-7.07721,264
BRA,-38.8125,-4.36872,262
BRA,-38.8812,-4.32598,225
BRA,-38.9799,-7.48469,251
BRA,-38.9048,-4.45569,250
BRA,-38.6259,-3.86699,255
BRA,-38.6829,-3.89143,252
BRA,-40.6896,-3.2252,276
BRA,-38.8446,-4.13831,244
BRA,-38.7277,-4.21587,249
BRA,-40.8596,-4.04713,216
BRA,-38.1282,-5.24353,275
BRA,-35.4247,-5.64323,258
BRA,-35.1943,-6.26486,255
BRA,-35.1986,-5.79357,258
BRA,-35.1991,-6.09329,256
BRA,-35.2195,-6.4356,255
BRA,-35.3732,-6.34641,254
BRA,-35.428,-6.04399,254
BRA,-35.6206,-7.03943,246
BRA,-35.5332,-6.94657,237
BRA,-36.0511,-7.73668,229
BRA,-35.6977,-6.96396,220
BRA,-35.7066,-7.54473,240
BRA,-35.9913,-7.51809,238
BRA,-35.5166,-6.74261,233
BRA,-36.1309,-7.487,232
BRA,-35.1673,-6.91624,254
BRA,-35.0857,-7.13902,252
BRA,-35.7931,-7.34454,243
BRA,-35.485,-6.85064,254
BRA,-35.605,-7.28144,246
BRA,-35.3317,-7.33167,252
BRA,-35.638,-7.38115,248
BRA,-35.1213,-6.8337,253
BRA,-35.318,-7.05942,251
BRA,-35.5586,-7.63514,237
BRA,-35.1065,-7.39107,244
BRA,-35.4906,-6.77922,251
BRA,-37.9886,-7.73175,225
BRA,-35.4305,-7.35337,246
BRA,-35.3725,-7.25238,250
BRA,-38.2311,-6.75148,266
BRA,-35.6582,-7.69199,238
BRA,-35.9447,-8.45966,218
BRA,-35.5263,-8.70609,236
BRA,-37.1226,-9.11125,229
BRA,-35.2227,-7.60398,246
BRA,-36.0644,-8.48482,215
BRA,-35.4501,-8.37691,234
BRA,-36.2902,-8.88429,214
BRA,-35.0809,-7.78391,246
BRA,-35.6585,-8.42075,217
BRA,-35.1832,-8.81605,238
BRA,-35.796,-8.2328,214
BRA,-36.6857,-9.16919,228
BRA,-35.7292,-8.47163,213
BRA,-36.566,-9.02915,215
BRA,-36.3741,-8.14933,222
BRA,-35.3182,-7.72449,247
BRA,-35.2664,-7.40545,246
BRA,-35.2514,-7.84566,244
BRA,-35.9699,-8.28455,216
BRA,-35.7024,-8.67509,231
BRA,-35.204,-8.00679,239
BRA,-35.4571,-8.23827,222
BRA,-36.3244,-9.12117,222
BRA,-35.9518,-8.62432,221
BRA,-35.2241,-8.35672,240
BRA,-35.3801,-7.94704,244
BRA,-35.9113,-7.93918,236
BRA,-35.3846,-8.5798,237
BRA,-35.5675,-8.21118,216
BRA,-36.8498,-9.04559,232
BRA,-37.7032,-8.54026,228
BRA,-35.0609,-8.39303,246
BRA,-35.1002,-7.66373,247
BRA,-35.015,-8.11298,246
BRA,-35.5787,-7.86565,241
BRA,-35.5288,-8.62281,232
BRA,-36.1347,-8.70714,209
BRA,-36.3293,-8.65791,218
BRA,-35.4425,-7.55564,237
BRA,-40.08,-7.87918,247
BRA,-36.0125,-8.66121,217
BRA,-36.6549,-8.91875,208
BRA,-35.3967,-8.13982,237
BRA,-36.691,-8.9723,212
BRA,-36.2061,-7.94802,228
BRA,-39.8241,-8.79766,248
BRA,-36.2869,-8.33763,218
BRA,-36.3653,-8.87576,210
BRA,-35.7481,-7.84746,240
BRA,-39.3825,-8.22244,247
BRA,-36.0637,-8.00955,228
BRA,-35.8491,-7.77084,235
BRA,-37.938,-9.262,238
BRA,-36.1559,-9.3994,243
BRA,-35.5685,-8.84723,238
BRA,-36.7926,-9.95542,242
BRA,-35.7214,-8.91806,229
BRA,-36.1717,-10.1276,244
BRA,-37.0965,-9.38465,243
BRA,-36.7644,-9.39089,245
BRA,-35.4591,-8.83951,240
BRA,-37.0046,-9.66224,248
BRA,-35.7474,-9.1328,236
BRA,-36.7413,-9.83291,238
BRA,-36.992,-9.53009,247
BRA,-37.3524,-9.23045,238
BRA,-35.5243,-9.15437,241
BRA,-35.9428,-9.30682,236
BRA,-36.8101,-10.0572,250
BRA,-36.6328,-9.40568,236
BRA,-36.5819,-10.2874,252
BRA,-36.2176,-9.17141,227
BRA,-36.8522,-10.1141,254
BRA,-36.0515,-9.01278,235
BRA,-36.0971,-9.78301,244
BRA,-36.4928,-9.64529,234
BRA,-37.0071,-9.96262,253
BRA,-37.0677,-10.9091,256
BRA,-37.3251,-10.758,249
BRA,-37.6195,-11.1397,246
BRA,-37.0628,-10.5069,248
BRA,-37.1846,-10.352,241
BRA,-37.1506,-10.6782,254
BRA,-37.5279,-10.5513,239
BRA,-37.2006,-10.2252,240
BRA,-37.4273,-10.6826,239
BRA,-37.1056,-10.1248,248
BRA,-37.3078,-10.99,251
BRA,-37.6689,-10.9136,238
BRA,-36.9252,-10.3418,248
BRA,-37.3004,-10.6649,244
BRA,-37.3512,-10.5769,238
BRA,-37.4517,-10.3944,239
BRA,-36.6531,-10.4538,254
BRA,-37.7242,-10.5677,239
BRA,-38.1813,-10.7151,236
BRA,-36.8442,-10.2138,254
BRA,-37.2044,-11.0084,253
BRA,-37.5685,-10.7916,240
BRA,-37.8433,-11.3694,241
BRA,-37.6623,-11.3809,247
BRA,-38.7639,-11.8618,226
BRA,-39.6415,-14.7089,222
BRA,-39.602,-13.0215,219
BRA,-41.439,-11.4429,221
BRA,-41.1356,-14.6151,227
BRA,-39.8391,-10.3482,236
BRA,-40.2785,-10.5767,233
BRA,-38.0814,-11.6577,238
BRA,-41.4648,-14.428,223
BRA,-38.9584,-11.3253,240
BRA,-39.329,-14.321,238
BRA,-42.059,-11.81,225
BRA,-39.5991,-14.2,236
BRA,-44.9968,-12.1439,245
BRA,-39.476,-14.7948,237
BRA,-41.2652,-15.0334,210
BRA,-38.8051,-11.6072,232
BRA,-43.4108,-13.2506,254
BRA,-40.5126,-14.3663,205
BRA,-39.3028,-14.9595,239
BRA,-40.9175,-14.3347,221
BRA,-42.4861,-14.0684,216
BRA,-41.4688,-11.6914,210
BRA,-39.4919,-15.4142,233
BRA,-39.8349,-11.6658,232
BRA,-40.0089,-11.3797,233
BRA,-41.2603,-14.7177,231
BRA,-39.4248,-12.7579,229
BRA,-44.8648,-12.31,238
BRA,-38.3794,-10.5897,229
BRA,-39.5556,-14.637,229
BRA,-44.5352,-14.1814,238
BRA,-39.2808,-11.56,227
BRA,-41.048,-13.7537,239
BRA,-37.9198,-10.2847,239
BRA,-38.2926,-12.6187,247
BRA,-41.7677,-13.7565,230
BRA,-40.9124,-15.5302,212
BRA,-38.0871,-11.9392,236
BRA,-39.5821,-16.3715,240
BRA,-38.2239,-10.616,232
BRA,-40.1437,-10.7405,239
BRA,-39.6579,-14.8629,236
BRA,-39.4747,-13.7441,231
BRA,-42.5077,-11.4342,216
BRA,-39.469,-14.3195,238
BRA,-41.9381,-14.5467,223
BRA,-42.7799,-14.2231,233
BRA,-39.7847,-16.5833,242
BRA,-39.3787,-14.1649,232
BRA,-40.1129,-17.6832,241
BRA,-43.2167,-12.1779,255
BRA,-39.1905,-11.7431,233
BRA,-40.0894,-14.7528,220
BRA,-39.7353,-14.1226,232
BRA,-39.7359,-12.1561,226
BRA,-40.9595,-13.2902,221
BRA,-41.8535,-11.3033,234
BRA,-39.2781,-14.7876,243
BRA,-40.9677,-12.9831,232
BRA,-40.0131,-14.1615,215
BRA,-39.7283,-15.1366,235
BRA,-39.5386,-17.0378,245
BRA,-39.683,-13.7782,224
BRA,-40.3321,-17.1642,229
BRA,-39.4239,-14.8876,238
BRA,-39.5329,-15.9551,234
BRA,-38.2262,-11.3088,238
BRA,-39.5657,-14.4139,232
BRA,-40.1472,-13.529,209
BRA,-39.8446,-10.6948,239
BRA,-40.0684,-15.11,225
BRA,-42.4329,-14.8541,216
BRA,-40.1999,-10.2569,215
BRA,-40.0877,-13.8509,224
BRA,-41.6548,-11.3486,222
BRA,-40.5033,-9.41622,249
BRA,-40.1641,-16.8488,229
BRA,-39.491,-15.192,230
BRA,-41.5882,-13.5155,222
BRA,-40.2119,-13.6541,204
BRA,-39.4213,-13.1673,228
BRA,-41.3928,-12.5616,215
BRA,-41.8432,-13.6369,211
BRA,-45.7866,-12.0956,243
BRA,-39.0137,-14.1035,244
BRA,-40.5295,-13.0064,231
BRA,-39.3016,-15.5542,239
BRA,-40.2238,-17.3707,242
BRA,-39.8611,-12.8646,213
BRA,-40.574,-10.961,216
BRA,-40.7718,-14.2385,222
BRA,-42.3727,-15.0225,209
BRA,-39.5565,-18.0754,242
BRA,-41.6374,-11.9648,214
BRA,-40.4714,-11.8541,224
BRA,-39.1092,-13.0092,239
BRA,-38.4871,-11.2329,242
BRA,-42.1682,-12.8083,221
BRA,-38.3379,-11.3497,237
BRA,-38.6166,-12.0175,230
BRA,-43.1609,-14.2676,233
BRA,-42.2395,-13.4388,228
BRA,-37.8626,-10.6859,227
BRA,-39.6458,-15.4572,226
BRA,-41.7168,-14.9444,220
BRA,-40.3695,-13.2618,202
BRA,-40.4718,-14.6654,195
BRA,-39.0643,-16.4435,242
BRA,-39.8638,-15.5943,233
BRA,-39.5007,-12.4053,232
BRA,-38.5382,-10.8373,239
BRA,-42.2902,-13.1185,235
BRA,-39.8115,-14.964,230
BRA,-39.814,-13.2793,209
BRA,-39.375,-11.2508,233
BRA,-44.5255,-11.0063,244
BRA,-39.2584,-12.9614,232
BRA,-44.9769,-12.3572,239
BRA,-44.1837,-13.4019,246
BRA,-39.3437,-15.0787,232
BRA,-39.8669,-11.4137,234
BRA,-38.5938,-11.5929,232
BRA,-41.7722,-12.4169,212
BRA,-38.4029,-12.7866,249
BRA,-40.8145,-9.45024,251
BRA,-42.4934,-13.5485,217
BRA,-39.74,-17.5399,243
BRA,-38.9913,-11.4827,236
BRA,-42.1354,-11.3394,229
BRA,-39.0765,-15.2791,242
BRA,-39.2851,-14.5963,241
BRA,-40.3149,-11.5273,231
BRA,-40.0974,-17.2183,243
BRA,-42.4743,-20.2996,206
BRA,-43.1439,-20.359,210
BRA,-42.5419,-19.0671,214
BRA,-42.3806,-17.9914,215
BRA,-41.4571,-15.7431,210
BRA,-41.0746,-19.5007,239
BRA,-40.6942,-16.1785,237
BRA,-43.4067,-21.0281,202
BRA,-43.0535,-20.1098,206
BRA,-43.3638,-18.7334,206
BRA,-42.8009,-20.5051,206
BRA,-41.4948,-15.9688,214
BRA,-42.8732,-19.6491,203
BRA,-42.0637,-16.8523,239
BRA,-42.5178,-20.6686,193
BRA,-45.1671,-19.9405,210
BRA,-46.9438,-19.5902,203
BRA,-45.5373,-20.2863,213
BRA,-42.8292,-21.6083,220
BRA,-42.5533,-17.8666,207
BRA,-43.9613,-19.2832,214
BRA,-40.5622,-15.8783,234
BRA,-43.4755,-19.9389,204
BRA,-43.7703,-21.2214,188
BRA,-43.0402,-20.2869,213
BRA,-43.0922,-19.8302,208
BRA,-43.9266,-19.9102,205
BRA,-42.4828,-19.2199,237
BRA,-44.0275,-20.4077,200
BRA,-40.58,-17.059,240
BRA,-41.7432,-15.61,214
BRA,-44.2008,-19.9668,213
BRA,-43.056,-21.7232,206
BRA,-43.8104,-17.1135,220
BRA,-45.2622,-19.7386,217
BRA,-42.3165,-19.836,210
BRA,-44.7543,-15.3231,233
BRA,-46.391,-21.6412,196
BRA,-44.4299,-16.2104,220
BRA,-43.2406,-20.8419,203
