GID_0,lon,lat,oppc
BRA,-39.0471,-4.41229,241
BRA,-38.932,-4.26248,225
BRA,-42.5419,-19.0671,214
BRA,-45.9477,-21.4256,204
BRA,-43.9266,-19.9102,205
BRA,-42.3165,-19.836,210
BRA,-42.7099,-19.0562,219
BRA,-42.2552,-19.4231,227
BRA,-44.1304,-19.5471,214
BRA,-42.0313,-20.7343,199
BRA,-42.1292,-19.7868,203
BRA,-41.5276,-17.3018,214
BRA,-44.0539,-19.9321,208
BRA,-42.6276,-19.5179,234
BRA,-43.6031,-18.2413,192
BRA,-44.8912,-20.1446,214
BRA,-45.9007,-20.2868,212
BRA,-44.3065,-19.764,212
BRA,-43.1957,-21.536,211
BRA,-41.9555,-18.8545,238
BRA,-45.7111,-20.1776,213
BRA,-42.5476,-19.4703,225
BRA,-43.2312,-19.6239,202
BRA,-41.1746,-19.3999,241
BRA,-41.0117,-16.4375,230
BRA,-43.3398,-21.7595,200
BRA,-43.3135,-21.869,207
BRA,-42.3458,-20.8899,201
BRA,-45.4127,-19.8387,217
BRA,-41.8826,-17.4654,210
BRA,-45.6627,-20.3705,207
BRA,-44.6114,-19.8534,207
BRA,-41.6006,-18.357,230
BRA,-45.0141,-19.2257,229
BRA,-42.4502,-20.1061,220
BRA,-43.8263,-19.884,199
BRA,-43.8497,-19.7548,214
BRA,-43.1064,-19.4431,208
BRA,-44.2749,-20.048,210
BRA,-42.7035,-19.9214,224
BRA,-44.9849,-21.721800000000002,186
BRA,-43.3744,-18.5991,201
BRA,-42.0228,-20.9086,213
BRA,-41.9166,-18.59,236
BRA,-41.0109,-19.5213,239
BRA,-40.8965,-18.7548,236
BRA,-41.2031,-20.6033,228
BRA,-40.6269,-19.5493,242
BRA,-40.4473,-19.1864,235
BRA,-40.0759,-18.907,240
BRA,-41.0621,-19.8994,233
BRA,-40.8534,-19.2229,226
BRA,-40.7439,-20.0253,201
BRA,-40.5365,-19.0182,238
BRA,-39.8579,-18.7214,240
BRA,-40.6526,-19.7411,229
BRA,-40.3074,-20.121,246
BRA,-40.3849,-18.9958,237
BRA,-43.8269,-22.4715,206
BRA,-43.3992,-22.764,230
BRA,-43.214,-22.0404,215
BRA,-41.3181,-21.7622,234
BRA,-43.7798,-22.8636,234
BRA,-41.8799,-21.1997,232
BRA,-43.6602,-22.6435,216
BRA,-42.2533,-21.9813,219
BRA,-42.8246,-22.9354,226
BRA,-41.9697,-21.039,226
BRA,-43.1034,-22.8832,231
BRA,-42.5377,-22.2932,175
BRA,-44.7175,-23.2221,209
BRA,-43.2003,-22.9129,224
BRA,-42.9327,-22.1525,200
BRA,-47.3331,-22.7374,201
BRA,-46.772,-22.7088,184
BRA,-48.1336,-22.793,208
BRA,-47.3842,-22.3572,200
BRA,-50.4183,-22.66,207
BRA,-46.5563,-23.1171,181
BRA,-48.1223,-24.7324,218
BRA,-47.0659,-22.9053,194
BRA,-50.3873,-22.7471,211
BRA,-49.7839,-23.004,209
BRA,-47.5071,-22.9951,202
BRA,-47.1729,-22.3375,201
BRA,-47.1926,-22.6419,201
BRA,-50.7909,-22.7373,218
BRA,-44.969,-22.5728,198
BRA,-46.6205,-23.6813,175
BRA,-51.3821,-21.6727,224
BRA,-49.6546,-22.2125,203
BRA,-48.312,-20.3196,232
BRA,-46.5333,-23.4538,180
BRA,-47.0487,-22.6405,199
BRA,-50.0739,-22.8185,211
BRA,-51.0779,-22.6602,218
BRA,-47.2101,-23.0816,196
BRA,-48.5971,-24.5847,212
BRA,-49.0629,-21.3123,224
BRA,-46.8224,-22.4357,198
BRA,-47.1736,-24.2834,211
BRA,-46.8464,-23.0035,185
BRA,-47.2927,-23.2544,192
BRA,-47.0593,-23.1526,190
BRA,-46.9851,-22.7037,192
BRA,-48.5592,-22.2936,208
BRA,-46.8974,-23.1852,179
BRA,-47.6426,-24.3101,217
BRA,-48.8037,-22.6027,205
BRA,-47.397,-22.566,203
BRA,-46.5897,-23.3171,174
BRA,-49.3202,-23.0056,201
BRA,-50.6713,-22.6149,216
BRA,-47.4625,-24.2766,211
BRA,-47.0024,-21.4647,212
BRA,-46.1854,-23.5208,174
BRA,-46.9428,-22.3675,200
BRA,-50.8793,-21.7968,219
BRA,-49.8697,-22.9797,215
BRA,-47.1488,-22.7542,198
BRA,-47.0012,-24.312,212
BRA,-47.6476,-22.7338,205
BRA,-49.3803,-23.1981,197
BRA,-50.2104,-22.6371,208
BRA,-50.176,-22.107,210
BRA,-47.5251,-23.2093,198
BRA,-50.893,-22.2269,214
BRA,-46.4058,-23.7067,173
BRA,-47.8099,-21.1699,211
BRA,-47.4143,-22.7553,204
BRA,-47.5272,-22.4572,203
BRA,-47.478,-21.7083,205
BRA,-46.9192,-22.6029,196
BRA,-45.8841,-23.1896,191
BRA,-46.6395,-23.5329,183
BRA,-46.7033,-22.6139,188
BRA,-46.5251,-22.5903,187
BRA,-47.2703,-21.7029,204
BRA,-50.5786,-22.7429,214
BRA,-47.7164,-23.1101,204
BRA,-46.9974,-22.9698,186
BRA,-50.2304,-23.0533,215
BRA,-51.2798,-23.2766,209
BRA,-52.6054,-23.6599,209
BRA,-54.1052,-24.9419,200
BRA,-49.9739,-23.1591,212
BRA,-50.7511,-23.0818,215
BRA,-51.7928,-23.4843,191
BRA,-48.549,-25.8237,203
BRA,-54.0943,-25.2977,195
BRA,-48.5225,-25.5161,205
BRA,-53.8771,-25.0577,190
BRA,-48.766,-27.5191,192
BRA,-49.3885,-27.0375,192
