GID_0,lon,lat,oppc
BRA,-59.5557,-3.314,273
BRA,-52.21,-3.20407,259
BRA,-47.9167,-1.29797,265
BRA,-55.3786,-7.14347,257
BRA,-49.7215,-8.85784,265
BRA,-54.6996,-2.43849,260
BRA,-44.6126,-3.26269,273
BRA,-45.6953,-2.84227,270
BRA,-48.1069,-20.0576,232
BRA,-46.3878,-20.8631,196
BRA,-46.9438,-19.5902,203
BRA,-45.5373,-20.2863,213
BRA,-45.9754,-20.0166,212
BRA,-45.2622,-19.7386,217
BRA,-46.1725,-19.6914,199
BRA,-47.0571,-20.6163,196
BRA,-46.9201,-20.5831,208
BRA,-42.2791,-18.6156,214
BRA,-47.1933,-18.4734,220
BRA,-45.9032,-19.8198,212
BRA,-45.5617,-20.4474,207
BRA,-47.7841,-19.9721,225
BRA,-46.7901,-18.8425,217
BRA,-46.5474,-19.4749,210
BRA,-47.1222,-20.4611,194
BRA,-44.0569,-20.0252,203
BRA,-47.461,-18.9819,206
BRA,-44.4875,-20.3947,200
BRA,-46.4012,-18.7715,223
BRA,-45.6794,-19.7911,218
BRA,-42.9469,-15.0479,238
BRA,-45.2434,-19.3306,227
BRA,-46.9753,-21.1873,200
BRA,-43.8578,-16.7282,219
BRA,-44.9847,-19.8713,216
BRA,-46.609,-20.7193,205
BRA,-46.5013,-18.5699,228
BRA,-46.9934,-18.9379,213
BRA,-47.2963,-19.3434,200
BRA,-45.8049,-20.4827,208
BRA,-45.9589,-20.4762,206
BRA,-46.2455,-19.1861,207
BRA,-47.4508,-19.8622,210
BRA,-47.5322,-19.3108,206
BRA,-46.0465,-19.3087,204
BRA,-46.313,-20.7178,205
BRA,-47.0962,-20.7791,197
BRA,-46.6961,-19.1083,213
BRA,-46.8264,-19.9166,188
BRA,-46.0971,-22.3698,175
BRA,-45.2511,-21.6921,198
BRA,-47.9381,-19.7472,221
BRA,-48.2749,-18.9141,215
BRA,-51.3786,-20.8948,229
BRA,-48.178,-21.7845,207
BRA,-48.1636,-21.1864,219
BRA,-47.5921,-20.8929,203
BRA,-50.3432,-21.291,222
BRA,-46.5419,-22.9527,181
BRA,-47.0659,-22.9053,194
BRA,-47.1643,-21.2801,198
BRA,-47.7324,-21.338,211
BRA,-51.535,-21.4843,224
BRA,-47.9756,-21.2324,212
BRA,-48.1141,-24.5281,222
BRA,-51.1724,-21.6127,221
BRA,-47.4039,-20.5352,200
BRA,-48.2316,-21.3594,215
BRA,-51.0779,-22.6602,218
BRA,-49.3352,-24.1085,194
BRA,-47.2194,-20.6416,201
BRA,-48.3252,-21.252,219
BRA,-51.4342,-21.5103,222
BRA,-47.397,-22.566,203
BRA,-51.0215,-21.7182,221
BRA,-47.7801,-21.55,212
BRA,-48.7102,-22.5002,205
BRA,-46.5897,-23.3171,174
BRA,-51.1824,-21.7959,224
BRA,-51.1709,-22.1462,220
BRA,-48.364,-21.6025,214
BRA,-51.1035,-21.1313,222
BRA,-47.0024,-21.4647,212
BRA,-46.1854,-23.5208,174
BRA,-48.4971,-21.2655,217
BRA,-48.1538,-21.5103,213
BRA,-47.8852,-20.7169,218
BRA,-50.2811,-22.3149,212
BRA,-51.8562,-21.354,232
BRA,-50.5732,-22.4114,211
BRA,-51.8321,-21.3153,230
BRA,-48.0423,-21.0216,223
BRA,-47.8099,-21.1699,211
BRA,-47.6047,-22.8417,202
BRA,-45.8465,-23.5288,170
BRA,-47.4512,-22.1405,203
BRA,-51.7564,-21.3495,227
BRA,-47.3622,-21.4776,213
BRA,-47.886,-22.0174,197
BRA,-47.6424,-20.5935,209
BRA,-48.5723,-22.7321,197
BRA,-46.6395,-23.5329,183
BRA,-47.5518,-21.4732,212
BRA,-47.5952,-21.2043,214
BRA,-47.9875,-21.1316,219
BRA,-48.9922,-24.6606,197
BRA,-49.4047,-25.5859,169
BRA,-51.5518,-26.1607,166
BRA,-52.7976,-24.5893,198
BRA,-51.8237,-25.0802,169
BRA,-49.0551,-25.3044,172
BRA,-52.1198,-25.3734,180
BRA,-49.2262,-25.2925,168
BRA,-51.343,-26.0166,167
BRA,-52.6768,-25.035,177
BRA,-51.3172,-26.425,159
BRA,-52.8755,-25.096800000000002,176
BRA,-51.4623,-25.3902,168
BRA,-51.0769,-25.5704,161
BRA,-50.6493,-25.4697,175
BRA,-52.47,-24.8862,185
BRA,-50.8173,-25.8806,168
BRA,-52.1743,-25.9421,171
BRA,-48.5225,-25.5161,205
