GID_0,lon,lat,oppc
BRA,-56.729,-2.63741,3964
BRA,-61.3692,3.64571,144
BRA,-60.6753,2.82384,311
BRA,-60.6058,2.60994,346
BRA,-61.0415,2.18305,414
BRA,-60.9096,2.43998,376
BRA,-59.6204,3.8853,93
BRA,-61.1477,4.4799,21
BRA,-60.1815,4.60314,18
BRA,-48.8788,-1.72183,3253
BRA,-48.1985,-1.95383,3406
BRA,-50.4791,-6.79053,9125
BRA,-54.7384,-1.94623,3367
BRA,-52.5788,-1.52904,3083
BRA,-52.21,-3.20407,4677
BRA,-49.9354,-0.996811,2536
BRA,-48.3743,-1.36391,2963
BRA,-51.2003,-3.46985,4867
BRA,-47.5677,-2.14898,3560
BRA,-55.3199,-3.60841,5028
BRA,-50.1987,-1.90057,3394
BRA,-49.6694,-2.79021,4167
BRA,-50.3959,-7.34779,10059
BRA,-48.6195,-1.51187,3107
BRA,-54.9374,-2.63609,3975
BRA,-48.2434,-1.36183,2964
BRA,-48.6047,-5.0424,6861
BRA,-46.7826,-1.06126,2691
BRA,-48.4103,-5.69822,7762
BRA,-49.5735,-3.77191,5248
BRA,-48.0381,-1.51762,3110
BRA,-48.9503,-1.01226,2678
BRA,-49.4979,-2.24295,3699
BRA,-49.8776,-6.49659,8666
BRA,-47.1778,-1.20529,2828
BRA,-47.0629,-1.74785,3264
BRA,-47.9167,-1.29797,2824
BRA,-48.2803,-0.936423,2545
BRA,-49.2689,-8.26136,11233
BRA,-47.9422,-1.99238,3408
BRA,-50.7698,-7.81097,10525
BRA,-49.6068,-6.09965,8211
BRA,-49.7952,-1.81179,3248
BRA,-47.8245,-4.19944,5830
BRA,-49.3553,-6.10389,8212
BRA,-56.7405,-2.16805,3655
BRA,-49.7125,-7.55335,10298
BRA,-47.0505,-1.92986,3413
BRA,-49.0974,-3.84338,5439
BRA,-47.626,-1.12539,2686
BRA,-48.9575,-1.97533,3402
BRA,-47.9114,-1.4349,2966
BRA,-47.5059,-2.55992,4019
