GID_0,lon,lat,oppc
BRA,-61.9953,-11.9283,233
BRA,-63.0325,-9.90571,255
BRA,-61.4562,-11.4343,238
BRA,-60.8168,-13.187,232
BRA,-64.228,-12.4367,259
BRA,-61.0252,-11.5266,235
BRA,-65.3296,-10.7889,265
BRA,-62.4788,-10.4318,248
BRA,-61.9322,-10.8777,243
BRA,-61.9818,-9.44363,252
BRA,-62.3127,-11.7247,237
BRA,-62.2565,-10.7167,243
BRA,-61.198,-11.672,236
BRA,-63.8999,-8.76077,261
BRA,-61.8986,-11.169,242
BRA,-61.7714,-11.7271,238
BRA,-60.1488,-12.7502,210
BRA,-62.7192,-11.6953,247
BRA,-62.2847,-11.3463,242
BRA,-61.835,-12.132,230
BRA,-63.3188,-9.71429,256
BRA,-63.8324,-10.1943,256
BRA,-61.9951,-11.6961,238
BRA,-63.6266,-10.5712,249
BRA,-63.7005,-8.7907,260
BRA,-61.9482,-11.4253,241
BRA,-62.5846,-9.36065,254
BRA,-62.7371,-10.61,247
BRA,-63.1809,-9.19687,258
BRA,-62.6696,-11.029,245
BRA,-63.29,-10.2458,253
BRA,-62.5564,-10.9068,243
BRA,-63.568,-12.052,254
BRA,-62.242,-10.9056,243
BRA,-62.3538,-10.2483,249
BRA,-62.3639,-11.1261,243
BRA,-62.1876,-9.86215,249
BRA,-62.1352,-10.4465,246
BRA,-66.8972,-9.82581,261
BRA,-69.5738,-10.9298,246
BRA,-68.7497,-10.995,251
BRA,-67.955,-9.81528,257
BRA,-67.686,-10.566,260
BRA,-72.6756,-7.62762,253
BRA,-70.351,-8.17054,258
BRA,-72.8997,-7.61657,255
BRA,-69.2679,-8.83291,250
BRA,-72.7997,-8.93898,258
BRA,-67.1371,-10.2806,262
BRA,-72.7537,-8.26323,256
BRA,-67.8243,-9.97499,260
BRA,-72.661,-7.73864,254
BRA,-67.7362,-10.1497,261
BRA,-68.6571,-9.06596,248
BRA,-70.7722,-8.15697,259
BRA,-68.4969,-10.6516,258
BRA,-67.5478,-9.58138,259
BRA,-64.8007,-3.22727,269
BRA,-59.896,-7.19409,260
BRA,-59.1256,-3.58574,270
BRA,-57.0679,-2.79886,276
BRA,-70.0342,-4.37768,257
BRA,-57.5873,-2.97409,273
BRA,-67.3919,-8.74232,257
BRA,-59.5874,-4.39154,270
BRA,-64.3953,-6.52582,264
BRA,-59.5557,-3.314,273
BRA,-63.1441,-4.09412,264
BRA,-62.0658,-3.83053,267
BRA,-69.8662,-6.65677,257
BRA,-66.0942,-2.52342,256
BRA,-72.5907,-7.53797,254
BRA,-63.0327,-7.51171,264
BRA,-71.6934,-7.04791,257
BRA,-60.19,-3.27479,274
BRA,-58.4449,-3.13861,270
BRA,-64.7948,-7.26413,264
BRA,-60.6216,-3.29066,272
BRA,-60.0212,-3.11866,274
BRA,-61.2895,-5.80462,266
BRA,-57.7067,-3.39289,272
BRA,-59.094,-3.90037,270
BRA,-56.729,-2.63741,278
BRA,-66.992,-7.71311,259
BRA,-60.0234,-2.02981,269
BRA,-59.6858,-2.7045,271
BRA,-65.0092,-0.410824,267
BRA,-67.084,-0.11909,264
BRA,-63.1808,-5.62085,264
BRA,-64.7193,-3.36822,269
BRA,-57.7538,-2.52936,274
BRA,-60.6753,2.82384,272
BRA,-61.1304,1.82766,272
BRA,-60.4389,0.939956,271
BRA,-59.9133,0.951659,270
BRA,-48.8788,-1.72183,270
BRA,-48.1985,-1.95383,267
BRA,-50.4791,-6.79053,252
BRA,-54.7384,-1.94623,267
BRA,-52.21,-3.20407,259
BRA,-49.9354,-0.996811,270
BRA,-48.3743,-1.36391,268
BRA,-51.2003,-3.46985,263
BRA,-46.6147,-1.05109,262
BRA,-48.6195,-1.51187,268
BRA,-48.2434,-1.36183,267
BRA,-46.7826,-1.06126,261
