GID_0,lon,lat,oppc
BRA,-61.9953,-11.9283,233
BRA,-63.0325,-9.90571,255
BRA,-61.4562,-11.4343,238
BRA,-64.228,-12.4367,259
BRA,-61.0252,-11.5266,235
BRA,-65.3296,-10.7889,265
BRA,-62.4788,-10.4318,248
BRA,-61.9322,-10.8777,243
BRA,-61.9818,-9.44363,252
BRA,-62.2565,-10.7167,243
BRA,-61.198,-11.672,236
BRA,-63.8999,-8.76077,261
BRA,-61.8986,-11.169,242
BRA,-62.9011,-9.69965,254
BRA,-61.7714,-11.7271,238
BRA,-61.7777,-11.9074,236
BRA,-60.1488,-12.7502,210
BRA,-62.2847,-11.3463,242
BRA,-61.835,-12.132,230
BRA,-63.3188,-9.71429,256
BRA,-63.8324,-10.1943,256
BRA,-62.9043,-10.349,249
BRA,-63.6266,-10.5712,249
BRA,-63.7005,-8.7907,260
BRA,-62.5846,-9.36065,254
BRA,-62.7371,-10.61,247
BRA,-63.1809,-9.19687,258
BRA,-61.5174,-11.196,236
BRA,-63.29,-10.2458,253
BRA,-62.242,-10.9056,243
BRA,-62.3538,-10.2483,249
BRA,-62.1876,-9.86215,249
BRA,-66.8972,-9.82581,261
BRA,-69.5738,-10.9298,246
BRA,-68.7497,-10.995,251
BRA,-72.6756,-7.62762,253
BRA,-70.351,-8.17054,258
BRA,-72.8997,-7.61657,255
BRA,-67.1371,-10.2806,262
BRA,-67.8243,-9.97499,260
BRA,-72.661,-7.73864,254
BRA,-68.6571,-9.06596,248
BRA,-68.4969,-10.6516,258
BRA,-67.5478,-9.58138,259
BRA,-64.8007,-3.22727,269
BRA,-68.2005,-3.37455,256
BRA,-61.3963,-3.56697,270
BRA,-59.896,-7.19409,260
BRA,-70.1967,-4.37055,258
BRA,-59.1256,-3.58574,270
BRA,-62.9311,-0.983373,268
BRA,-57.0679,-2.79886,276
BRA,-67.3919,-8.74232,257
BRA,-64.3953,-6.52582,264
BRA,-66.9086,-4.88161,262
BRA,-60.369,-3.76803,272
BRA,-59.5557,-3.314,273
BRA,-63.1441,-4.09412,264
BRA,-69.8662,-6.65677,257
BRA,-63.0327,-7.51171,264
BRA,-71.6934,-7.04791,257
BRA,-60.19,-3.27479,274
BRA,-58.4449,-3.13861,270
BRA,-58.0293,-2.74081,271
BRA,-66.7595,-2.75814,256
BRA,-64.7948,-7.26413,264
BRA,-60.6216,-3.29066,272
BRA,-60.0212,-3.11866,274
BRA,-61.2895,-5.80462,266
BRA,-65.573,-1.85313,262
BRA,-66.992,-7.71311,259
BRA,-60.0234,-2.02981,269
BRA,-59.6858,-2.7045,271
BRA,-65.0092,-0.410824,267
BRA,-67.084,-0.11909,264
BRA,-57.8731,-2.55915,273
BRA,-63.1808,-5.62085,264
BRA,-64.7193,-3.36822,269
BRA,-65.1133,-2.99609,266
BRA,-57.7538,-2.52936,274
BRA,-61.3072,2.98858,270
BRA,-60.6753,2.82384,272
BRA,-60.6058,2.60994,271
BRA,-61.1304,1.82766,272
BRA,-59.6959,0.884203,269
BRA,-60.9096,2.43998,272
BRA,-60.4389,0.939956,271
BRA,-59.9133,0.951659,270
BRA,-48.8788,-1.72183,270
BRA,-48.3933,-4.95333,261
BRA,-50.4791,-6.79053,252
BRA,-52.21,-3.20407,259
BRA,-49.9354,-0.996811,270
BRA,-48.3743,-1.36391,268
BRA,-51.2003,-3.46985,263
BRA,-46.6147,-1.05109,262
BRA,-55.3199,-3.60841,263
BRA,-50.3959,-7.34779,244
BRA,-52.534,-3.29792,256
BRA,-49.5735,-3.77191,272
BRA,-50.4791,-1.68036,267
BRA,-46.5459,-1.75974,264
BRA,-48.9503,-1.01226,272
BRA,-49.4979,-2.24295,270
BRA,-49.8776,-6.49659,253
BRA,-47.0629,-1.74785,261
BRA,-47.9167,-1.29797,265
